"","V1"
"24h_2053_affection_27673",4
"24h_2_affection_27674",9
"24h_1936_exercise_27675",2
"24h_206_bonding_27676",7
"24h_6227_affection_27677",5
"24h_45_leisure_27678",4
"24h_195_achievement_27679",5
"24h_740_affection_27680",6
"24h_3_enjoy_the_moment_27681",6
"24h_4833_affection_27682",8
"24h_7334_leisure_27683",7
"24h_78_exercise_27684",5
"24h_21_bonding_27685",8
"24h_8_achievement_27686",1
"24h_586_enjoy_the_moment_27687",5
"24h_489_affection_27688",2
"24h_976_bonding_27689",1
"24h_3972_achievement_27690",8
"24h_14_bonding_27691",4
"24h_1230_affection_27692",10
"24h_9950_achievement_27693",2
"24h_4862_affection_27694",3
"24h_4891_achievement_27695",6
"24h_737_enjoy_the_moment_27696",5
"24h_498_affection_27697",3
"24h_2124_achievement_27698",8
"24h_156_affection_27699",4
"24h_1783_leisure_27700",7
"24h_3382_affection_27701",6
"24h_54_affection_27702",3
"24h_794_affection_27703",3
"24h_1510_achievement_27704",6
"24h_5732_affection_27705",10
"24h_6215_affection_27706",2
"24h_402_nature_27707",10
"24h_2957_bonding_27708",8
"24h_261_nature_27709",10
"24h_516_affection_27710",6
"24h_1215_bonding_27711",4
"24h_848_affection_27712",2
"24h_396_affection_27713",2
"24h_4_achievement_27714",9
"24h_2272_bonding_27715",1
"24h_157_affection_27716",4
"24h_466_affection_27717",4
"24h_1566_enjoy_the_moment_27718",6
"24h_36_achievement_27719",1
"24h_2019_bonding_27720",3
"24h_4109_nature_27721",10
"24h_373_affection_27722",6
"24h_389_leisure_27723",1
"24h_10576_enjoy_the_moment_27724",1
"24h_2129_achievement_27725",9
"24h_383_achievement_27726",1
"24h_553_achievement_27727",8
"24h_311_achievement_27728",1
"24h_104_affection_27729",4
"24h_3284_achievement_27730",7
"24h_2776_affection_27731",7
"24h_25_achievement_27732",4
"24h_257_affection_27733",4
"24h_13224_achievement_27734",1
"24h_1377_achievement_27735",6
"24h_5652_bonding_27736",7
"24h_57_affection_27737",6
"24h_612_achievement_27738",1
"24h_2646_affection_27739",2
"24h_2794_achievement_27740",1
"24h_3797_affection_27741",10
"24h_9885_affection_27742",4
"24h_6186_affection_27743",4
"24h_491_affection_27744",10
"24h_1020_achievement_27745",9
"24h_1625_achievement_27746",6
"24h_1782_affection_27747",7
"24h_330_achievement_27748",9
"24h_589_affection_27749",6
"24h_35_exercise_27750",2
"24h_524_achievement_27751",1
"24h_477_enjoy_the_moment_27752",5
"24h_37_achievement_27753",1
"24h_215_affection_27754",6
"24h_2416_affection_27755",6
"24h_8589_leisure_27756",3
"24h_237_enjoy_the_moment_27757",8
"24h_69_achievement_27758",5
"24h_648_enjoy_the_moment_27759",8
"24h_1833_achievement_27760",2
"24h_1430_exercise_27761",9
"24h_15_affection_27762",7
"24h_1300_achievement_27763",7
"24h_102_affection_27764",2
"24h_449_achievement_27765",10
"24h_555_achievement_27766",5
"24h_2628_achievement_27767",10
"24h_1028_enjoy_the_moment_27768",5
"24h_76_exercise_27769",8
"24h_689_affection_27770",2
"24h_5046_enjoy_the_moment_27771",1
"24h_5116_enjoy_the_moment_27772",4
"24h_1199_achievement_27773",1
"24h_1517_bonding_27774",7
"24h_251_achievement_27775",3
"24h_681_affection_27776",10
"24h_3704_achievement_27777",2
"24h_738_enjoy_the_moment_27778",5
"24h_9896_leisure_27779",5
"24h_932_achievement_27780",8
"24h_8662_enjoy_the_moment_27781",5
"24h_3147_enjoy_the_moment_27782",10
"24h_1094_enjoy_the_moment_27783",4
"24h_4148_affection_27784",3
"24h_1057_nature_27785",8
"24h_11573_affection_27786",5
"24h_13_affection_27787",3
"24h_2349_achievement_27788",2
"24h_24_affection_27789",10
"24h_72_achievement_27790",10
"24h_2029_affection_27791",6
"24h_120_affection_27792",4
"24h_266_affection_27793",8
"24h_3009_affection_27794",9
"24h_479_achievement_27795",9
"24h_905_bonding_27796",2
"24h_2032_enjoy_the_moment_27797",6
"24h_820_achievement_27798",8
"24h_341_affection_27799",3
"24h_455_affection_27800",10
"24h_435_affection_27801",1
"24h_1719_achievement_27802",1
"24h_6667_achievement_27803",10
"24h_4714_affection_27804",3
"24h_3895_affection_27805",5
"24h_3930_achievement_27806",1
"24h_600_bonding_27807",8
"24h_3433_affection_27808",4
"24h_2894_affection_27809",4
"24h_1764_achievement_27810",10
"24h_376_achievement_27811",9
"24h_213_exercise_27812",9
"24h_5925_affection_27813",2
"24h_1827_achievement_27814",4
"24h_1189_achievement_27815",9
"24h_4706_bonding_27816",7
"24h_12580_affection_27817",7
"24h_229_achievement_27818",1
"24h_496_nature_27819",10
"24h_802_achievement_27820",1
"24h_1983_achievement_27821",1
"24h_924_affection_27822",4
"24h_4002_exercise_27823",4
"24h_146_affection_27824",1
"24h_220_leisure_27825",8
"24h_38_affection_27826",4
"24h_503_achievement_27827",10
"24h_51_achievement_27828",2
"24h_1063_bonding_27829",3
"24h_6724_affection_27830",4
"24h_2356_affection_27831",4
"24h_12002_affection_27832",5
"24h_3678_enjoy_the_moment_27833",1
"24h_1836_affection_27834",8
"24h_786_enjoy_the_moment_27835",6
"24h_81_bonding_27836",4
"24h_699_bonding_27837",3
"24h_5_leisure_27838",8
"24h_947_exercise_27839",4
"24h_62_affection_27840",2
"24h_9386_affection_27841",5
"24h_18_enjoy_the_moment_27842",4
"24h_60_affection_27843",6
"24h_50_achievement_27844",1
"24h_179_affection_27845",8
"24h_11620_leisure_27846",10
"24h_1773_affection_27847",4
"24h_728_affection_27848",2
"24h_1115_exercise_27849",3
"24h_3400_affection_27850",4
"24h_158_affection_27851",4
"24h_86_achievement_27852",5
"24h_5050_affection_27853",8
"24h_1_affection_27854",6
"24h_12107_affection_27855",2
"24h_26_affection_27856",2
"24h_2333_achievement_27857",1
"24h_1232_achievement_27858",10
"24h_570_achievement_27859",1
"24h_746_affection_27860",3
"24h_4545_affection_27861",10
"24h_1844_affection_27862",2
"24h_847_achievement_27863",5
"24h_2394_achievement_27864",10
"24h_8938_affection_27865",1
"24h_2030_affection_27866",5
"24h_103_affection_27867",2
"24h_2464_achievement_27868",4
"24h_1672_bonding_27869",7
"24h_7542_achievement_27870",6
"24h_768_affection_27871",3
"24h_1045_bonding_27872",7
"24h_2053_leisure_27873",8
"24h_2_affection_27874",3
"24h_1936_affection_27875",9
"24h_206_nature_27876",3
"24h_6227_affection_27877",3
"24h_45_bonding_27878",7
"24h_195_achievement_27879",9
"24h_740_bonding_27880",7
"24h_3_enjoy_the_moment_27881",6
"24h_4833_affection_27882",1
"24h_7334_affection_27883",6
"24h_78_enjoy_the_moment_27884",3
"24h_21_affection_27885",3
"24h_8_affection_27886",4
"24h_586_leisure_27887",5
"24h_489_achievement_27888",4
"24h_976_affection_27889",6
"24h_3972_affection_27890",6
"24h_14_affection_27891",5
"24h_1230_affection_27892",4
"24h_9950_bonding_27893",7
"24h_4862_affection_27894",1
"24h_4891_achievement_27895",1
